鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
大林鎮,土地,東林段571~600地號,254.57,住,,,1080414,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6921111,27187,,0.0,0,,RPVNMLMLPHOFFCQ67EA
民雄鄉,土地,菁埔段菁埔小段871~900地號,2396.0,,特定農業區,農牧用地,1080624,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3498160,1460,,0.0,0,,RPWNMLMLPHOFFCQ77EA
新港鄉,土地,大潭段北潭小段121~150地號,2985.0,,特定農業區,農牧用地,1080701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2950000,988,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLRKPHOFFCQ57EA
新港鄉,土地,西庄段西庄小段721~750地號,3504.0,,特定農業區,農牧用地,1080701,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2700000,771,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRNMLRKPHOFFCQ67EA
竹崎鄉,土地,樟樹坪段331~360地號,223.0,,山坡地保育區,農牧用地,1080708,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,50200,225,,0.0,0,向政府機關承購之案件。;,RPQNMLTKPHOFFEQ97EA
竹崎鄉,土地,樟樹坪段331~360地號,44.0,,山坡地保育區,農牧用地,1080708,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11600,264,,0.0,0,向政府機關承購之案件。;,RPRNMLTKPHOFFEQ08EA
民雄鄉,土地,番子段番子小段571~600地號,1199.0,,特定農業區,農牧用地,1080703,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,2085,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTNMLRKPHOFFCQ77DA
民雄鄉,土地,頭橋段571~600地號,76.0,住,,,1080624,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,52632,,0.0,0,含增建或未登記建物。;,RPPNMLSKPHOFFCQ47DA
朴子市,土地,溪口段781~810地號,483.92,,鄉村區,乙種建築用地,1080625,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300000,4753,,0.0,0,含增建或未登記建物。;,RPTNMLRKPHOFFBQ67DA
番路鄉,土地,大湖段91~120地號,1019.5,,森林區,農牧用地,1080704,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,180000,177,,0.0,0,,RPRNMLMLPHOFFEQ27CA
梅山鄉,土地,龍眼林段151~180地號,1000.0,,山坡地保育區,林業用地,1080705,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,160000,160,,0.0,0,,RPUNMLRKPHOFFEQ97CA
太保市,房地(土地+建物),嘉義縣太保市北新里13鄰中山路一段462巷1~30號,81.09,住,,,1080601,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0830604,220.84,5,3,5,有,無,3880000,17569,,0.0,0,,RPVNMLMLPHOFFDQ57CA
太保市,房地(土地+建物),嘉義縣太保市中山路一段228巷19弄31~60號,16.53,住,,,1080708,土地1建物3車位0,六層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0821006,80.44,2,1,1,有,無,1250000,15540,,0.0,0,,RPRNMLQLPHOFFDQ57CA
太保市,房地(土地+建物),嘉義縣太保市過溝里過溝1~30號,95.0,住,,,1080702,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0810316,149.63,3,2,2,有,無,3980000,26599,,0.0,0,,RPQNMLTKPHOFFDQ67CA
中埔鄉,土地,王爺段361~390地號,221.03,農,,,1080620,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3992680,18064,,0.0,0,,RPOOMLRKPHOFFDQ37CA
中埔鄉,房地(土地+建物),嘉義縣中埔鄉富收村興化?1~30號,126.09,,鄉村區,乙種建築用地,1080614,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1071008,183.65,3,2,3,有,無,7150000,38933,,0.0,0,,RPPOMLRKPHOFFDQ47CA
中埔鄉,房地(土地+建物),嘉義縣中埔鄉富收村興化?1~30號,146.43,,鄉村區,乙種建築用地,1080621,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1071008,181.47,3,2,3,有,無,7380000,40668,,0.0,0,,RPQOMLRKPHOFFDQ57CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉金興村集福街32巷31~60號,74.08,住,,,1080529,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0720423,88.44,3,2,1,有,無,1650000,18657,,0.0,0,,RPTNMLRLPHOFFCQ77CA
